,word,frequency,n_characters,romanized_form
約翰,約翰,2,6,yuēhàn
合同,合同,2,6,hétóng
色雷斯,色雷斯,3,7,sèléisī
說明,說明,2,8,shuōmíng
特徵,特徵,2,5,tèzhǐ
豬,豬,1,3,zhū
瑞典,瑞典,2,7,ruìdiǎn
大國,大國,2,5,dàguó
視頻,視頻,2,6,shìpín
首先,首先,2,8,shǒuxiān
恐怖,恐怖,2,6,kǒngbù
凱莎,凱莎,2,6,kǎishā
鏈接,鏈接,2,7,liànjiē
二,二,1,2,èr
賴特,賴特,2,5,làitè
奧地利,奧地利,3,6,àodìlì
快速,快速,2,6,kuàisù
在位,在位,2,6,zàiwèi
法庭,法庭,2,6,fǎtíng
確定,確定,2,7,quèdìng
議會,議會,2,5,yìhuì
華盛頓,華盛頓,3,11,huáshèngdùn
大廈,大廈,2,5,dàshà
丹麥,丹麥,2,6,dānmài
之外,之外,2,6,zhīwài
鐵,鐵,1,3,tiě
分類法,分類法,3,8,fēnlèifǎ
芬蘭語,芬蘭語,3,8,fēnlányǔ
地標,地標,2,6,dìbiāo
原本,原本,2,7,yuánběn
優勢,優勢,2,6,yōushì
阿契美尼德,阿契美尼德,5,10,āqìměinídé
劇場,劇場,2,7,jùchǎng
評論,評論,2,7,pínglùn
指南,指南,2,6,zhǐnán
依賴,依賴,2,5,yīlài
土著,土著,2,5,tǔzhù
城邦,城邦,2,9,chéngbāng
居里,居里,2,4,jūlǐ
在內,在內,2,6,zàinèi
雅典,雅典,2,6,yǎdiǎn
個人,個人,2,5,gèrén
會見,會見,2,7,huìjiàn
以至,以至,2,5,yǐzhì
展覽,展覽,2,7,zhǎnlǎn
興趣,興趣,2,6,xìngqù
席,席,1,2,xí
羅馬人,羅馬人,3,8,luómǎrén
記者,記者,2,5,jìzhě
確信,確信,2,6,quèxìn
黨派,黨派,2,7,dǎngpài
互聯網,互聯網,3,10,hùliánwǎng
運動會,運動會,3,10,yùndònghuì
同,同,1,4,tóng
發表,發表,2,6,fābiǎo
官方,官方,2,8,guānfāng
想像,想像,2,10,xiǎngxiàng
穀物,穀物,2,4,gǔwù
禁止,禁止,2,6,jìnzhǐ
現,現,1,4,xiàn
當中,當中,2,9,dāngzhōng
也是,也是,2,5,yěshì
工人,工人,2,7,gōngrén
法,法,1,2,fǎ
關鍵,關鍵,2,8,guānjiàn
荷蘭,荷蘭,2,5,hélán
十四,十四,2,5,shísì
舉行,舉行,2,6,jǔxíng
標準,標準,2,8,biāozhǔn
近,近,1,3,jìn
半,半,1,3,bàn
風格,風格,2,6,fēnggé
科技,科技,2,4,kējì
分子,分子,2,5,fènzǐ
某種,某種,2,8,mǒuzhǒng
帶,帶,1,3,dài
參議院,參議院,3,9,cānyìyuàn
穩定,穩定,2,7,wěndìng
研究所,研究所,3,9,yánjiūsuǒ
戰鬥,戰鬥,2,7,zhàndòu
嬰兒,嬰兒,2,6,yīngér
依然,依然,2,5,yīrán
伊斯蘭,伊斯蘭,3,7,yīsīlán
沈,沈,1,4,shěn
括,括,1,3,kuò
走,走,1,3,zǒu
帶領,帶領,2,7,dàilǐng
努力,努力,2,4,nǔlì
合法,合法,2,4,héfǎ
區,區,1,2,qū
摩托車,摩托車,3,8,mótuōchē
大戰,大戰,2,6,dàzhàn
宣傳,宣傳,2,9,xuānchuán
邊界,邊界,2,7,biānjiè
戰場,戰場,2,9,zhànchǎng
命令,命令,2,8,mìnglìng
周,周,1,4,zhōu
約瑟夫,約瑟夫,3,7,yuēsèfū
文字,文字,2,5,wénzì
據說,據說,2,6,jùshuō
寫道,寫道,2,6,xiědào
反,反,1,3,fǎn
具體,具體,2,4,jùtǐ
奧斯卡,奧斯卡,3,6,àosīkǎ
菲利普,菲利普,3,7,fēilìpǔ
餘額,餘額,2,3,yúé
你們,你們,2,5,nǐmen
無,無,1,2,wú
發明,發明,2,6,fāmíng
職業,職業,2,5,zhíyè
專家,專家,2,8,zhuānjiā
夢想,夢想,2,9,mèngxiǎng
評估,評估,2,6,pínggū
事情,事情,2,7,shìqíng
趨勢,趨勢,2,5,qūshì
小時,小時,2,7,xiǎoshí
大選,大選,2,6,dàxuǎn
網絡,網絡,2,7,wǎngluò
諸如,諸如,2,5,zhūrú
中華,中華,2,8,zhōnghuá
帶有,帶有,2,6,dàiyǒu
解放,解放,2,7,jiěfàng
好幾,好幾,2,5,hǎojǐ
派,派,1,3,pài
保羅,保羅,2,6,bǎoluó
皈依,皈依,2,5,guīyī
有助,有助,2,6,yǒuzhù
回歸,回歸,2,6,huíguī
立法,立法,2,4,lìfǎ
古巴,古巴,2,4,gǔbā
信仰,信仰,2,7,xìnyǎng
猶太人,猶太人,3,9,yóutàirén
意見,意見,2,6,yìjiàn
生涯,生涯,2,7,shēngyá
數量,數量,2,8,shùliàng
雷達,雷達,2,5,léidá
鼓勵,鼓勵,2,4,gǔlì
削減,削減,2,7,xuējiǎn
主題,主題,2,5,zhǔtí
叛亂,叛亂,2,7,pànluàn
最好,最好,2,6,zuìhǎo
海上,海上,2,8,hǎishàng
希區柯克,希區柯克,4,8,xīqūkēkè
大幅,大幅,2,4,dàfú
處罰,處罰,2,5,chùfá
預計,預計,2,4,yùjì
領導人,領導人,3,10,lǐngdǎorén
內戰,內戰,2,7,nèizhàn
對方,對方,2,7,duìfāng
公開,公開,2,7,gōngkāi
戰後,戰後,2,7,zhànhòu
大使,大使,2,5,dàshǐ
明白,明白,2,7,míngbái
學院,學院,2,7,xuéyuàn
領域,領域,2,6,lǐngyù
排除,排除,2,6,páichú
金,金,1,3,jīn
合理,合理,2,4,hélǐ
鬥爭,鬥爭,2,8,dòuzhēng
郵件,郵件,2,7,yóujiàn
溫斯頓,溫斯頓,3,8,wēnsīdùn
支出,支出,2,6,zhīchū
發起,發起,2,4,fāqǐ
授予,授予,2,6,shòuyǔ
重新,重新,2,8,chóngxīn
節日,節日,2,5,jiérì
天主教,天主教,3,11,tiānzhǔjiào
首都,首都,2,6,shǒudū
突然,突然,2,5,tūrán
王朝,王朝,2,8,wángcháo
相信,相信,2,8,xiāngxìn
皇帝,皇帝,2,7,huángdì
迫害,迫害,2,5,pòhài
頭銜,頭銜,2,7,tóuxián
實行,實行,2,7,shíxíng
實施,實施,2,6,shíshī
皇家,皇家,2,8,huángjiā
祖母,祖母,2,4,zǔmǔ
成員,成員,2,9,chéngyuán
贊助,贊助,2,6,zànzhù
奧斯曼人,奧斯曼人,4,10,àosīmànrén
公共,公共,2,8,gōnggòng
總督,總督,2,6,zǒngdū
圖特摩斯,圖特摩斯,4,8,tútèmósī
種子,種子,2,7,zhǒngzi
直到,直到,2,6,zhídào
巴拿馬,巴拿馬,3,6,bānámǎ
資格,資格,2,4,zīgé
支付,支付,2,5,zhīfù
本來,本來,2,6,běnlái
給予,給予,2,5,gěiyǔ
各種,各種,2,7,gèzhǒng
阻止,阻止,2,5,zǔzhǐ
近期,近期,2,5,jìnqī
消費者,消費者,3,10,xiāofèizhě
南海,南海,2,6,nánhǎi
馬丁,馬丁,2,6,mǎdīng
攻擊,攻擊,2,6,gōngjī
法院,法院,2,6,fǎyuàn
排放,排放,2,7,páifàng
治療,治療,2,7,zhìliáo
亞,亞,1,2,yà
擊敗,擊敗,2,5,jībài
亞洲,亞洲,2,6,yàzhōu
工業,工業,2,6,gōngyè
網站,網站,2,8,wǎngzhàn
真的,真的,2,6,zhēnde
模糊,模糊,2,4,móhú
友誼,友誼,2,5,yǒuyì
設備,設備,2,6,shèbèi
以為,以為,2,5,yǐwèi
花費,花費,2,6,huāfèi
父親,父親,2,5,fùqīn
常見,常見,2,9,chángjiàn
清楚,清楚,2,7,qīngchǔ
氣體,氣體,2,4,qìtǐ
克里斯托弗,克里斯托弗,5,11,kèlǐsītuōfú
東南部,東南部,3,9,dōngnánbù
空氣,空氣,2,6,kōngqì
柴油,柴油,2,7,cháiyóu
滿足,滿足,2,5,mǎnzú
實現,實現,2,7,shíxiàn
本地,本地,2,5,běndì
男人,男人,2,6,nánrén
希拉里,希拉里,3,6,xīlālǐ
態度,態度,2,5,tàidù
業務,業務,2,4,yèwù
顆粒,顆粒,2,4,kēlì
兄弟,兄弟,2,7,xiōngdì
轉型,轉型,2,9,zhuǎnxíng
徵收,徵收,2,9,zhēngshōu
侵略,侵略,2,6,qīnlüè
行,行,1,4,xíng
改革,改革,2,5,gǎigé
言,言,1,3,yán
不僅,不僅,2,5,bùjǐn
高中,高中,2,8,gāozhōng
人才,人才,2,6,réncái
了解,了解,2,7,liǎojiě
無論,無論,2,5,wúlùn
轉移,轉移,2,7,zhuǎnyí
領土,領土,2,6,lǐngtǔ
角色,角色,2,5,juésè
亨利,亨利,2,6,hēnglì
茉莉,茉莉,2,4,mòlì
博格達汗,博格達汗,4,9,bógédáhàn
錢,錢,1,4,qián
財政,財政,2,8,cáizhèng
助手,助手,2,7,zhùshǒu
推進,推進,2,6,tuījìn
重大,重大,2,7,zhòngdà
迪士尼,迪士尼,3,7,díshìní
法老,法老,2,5,fǎlǎo
小說,小說,2,8,xiǎoshuō
答案,答案,2,4,dáàn
伯爵,伯爵,2,5,bójué
疑問,疑問,2,5,yíwèn
奧巴馬,奧巴馬,3,6,àobāmǎ
二十,二十,2,5,èrshí
女孩,女孩,2,5,nǚhái
特點,特點,2,6,tèdiǎn
卡塔拉諾,卡塔拉諾,4,9,kǎtǎlānuò
食物,食物,2,5,shíwù
要么,要么,2,5,yàome
理查德,理查德,3,7,lǐchádé
優秀,優秀,2,6,yōuxiù
發揮,發揮,2,5,fāhuī
好評,好評,2,7,hǎopíng
確實,確實,2,6,quèshí
找,找,1,4,zhǎo
小教堂,小教堂,3,12,xiǎojiàotáng
蒂娜,蒂娜,2,4,dìnà
假期,假期,2,5,jiàqī
提高,提高,2,5,tígāo
飽受,飽受,2,7,bǎoshòu
缺席,缺席,2,5,quēxí
安第斯,安第斯,3,6,āndìsī
裡面,裡面,2,6,lǐmiàn
馬德里,馬德里,3,6,mǎdélǐ
思考,思考,2,5,sīkǎo
主持人,主持人,3,9,zhǔchírén
太陽,太陽,2,7,tàiyáng
伯戈因,伯戈因,3,7,bógēyīn
狀態,狀態,2,9,zhuàngtài
推特,推特,2,5,tuītè
資本,資本,2,5,zīběn
西雅那,西雅那,3,6,xīyǎnà
靈感,靈感,2,7,línggǎn
含量,含量,2,8,hánliàng
投資者,投資者,3,8,tóuzīzhě
撤回,撤回,2,6,chèhuí
格拉斯哥,格拉斯哥,4,8,gélāsīgē
公民,公民,2,7,gōngmín
聊天,聊天,2,8,liáotiān
正是,正是,2,8,zhèngshì
龐培,龐培,2,7,pángpéi
激進,激進,2,5,jījìn
凱撒,凱撒,2,5,kǎisā
發送,發送,2,6,fāsòng
成果,成果,2,8,chéngguǒ
燈塔,燈塔,2,6,dēngtǎ
全部,全部,2,6,quánbù
有趣,有趣,2,5,yǒuqù
職位,職位,2,6,zhíwèi
最多,最多,2,6,zuìduō
霸占,霸占,2,6,bàzhàn
優步,優步,2,5,yōubù
教皇,教皇,2,9,jiàohuáng
建設,建設,2,7,jiànshè
通知,通知,2,7,tōngzhī
立場,立場,2,7,lìchǎng
搬回,搬回,2,6,bānhuí
該州,該州,2,7,gāizhōu
安東尼,安東尼,3,8,āndōngní
衣服,衣服,2,4,yīfú
擺脫,擺脫,2,6,bǎituō
破裂,破裂,2,5,pòliè
損失,損失,2,6,sǔnshī
奇蹟,奇蹟,2,4,qíjī
帕爾馬,帕爾馬,3,6,pàěrmǎ
邁錫尼,邁錫尼,3,7,màixīní
擔心,擔心,2,6,dānxīn
紀念碑,紀念碑,3,9,jìniànbēi
不可思議,不可思議,4,8,bùkěsīyì
安迪,安迪,2,4,āndí
嶄露頭角,嶄露頭角,4,13,zhǎnlùtóujiǎo
分,分,1,3,fēn
丟,丟,1,3,diū
失望,失望,2,7,shīwàng
哪兒,哪兒,2,4,nǎér
平手,平手,2,8,píngshǒu
三十,三十,2,6,sānshí
統計,統計,2,6,tǒngjì
主導,主導,2,6,zhǔdǎo
抗議,抗議,2,6,kàngyì
必要,必要,2,5,bìyào
摧毀,摧毀,2,6,cuīhuǐ
人民,人民,2,6,rénmín
角度,角度,2,6,jiǎodù
效忠,效忠,2,9,xiàozhōng
歡樂,歡樂,2,6,huānlè
鬧劇,鬧劇,2,5,nàojù
否則,否則,2,5,fǒuzé
採取,採取,2,5,cǎiqǔ
範圍,範圍,2,6,fànwéi
南極,南極,2,5,nánjí
能源,能源,2,8,néngyuán
廢墟,廢墟,2,5,fèixū
尋求,尋求,2,6,xúnqiú
供,供,1,4,gōng
每年,每年,2,7,měinián
匈牙利,匈牙利,3,9,xiōngyálì
儲蓄,儲蓄,2,5,chǔxù
友好,友好,2,6,yǒuhǎo
擴展,擴展,2,7,kuòzhǎn
開支,開支,2,6,kāizhī
顧客,顧客,2,4,gùkè
緊接,緊接,2,6,jǐnjiē
其後,其後,2,5,qíhòu
品牌,品牌,2,6,pǐnpái
海外,海外,2,6,hǎiwài
賠償,賠償,2,8,péicháng
協助,協助,2,6,xiézhù
溫特科恩,溫特科恩,4,9,wēntèkēēn
舊殖民地,舊殖民地,4,11,jiùzhímíndì
奧林匹克,奧林匹克,4,9,àolínpǐkè
有名,有名,2,7,yǒumíng
首席,首席,2,6,shǒuxí
居住,居住,2,5,jūzhù
平行,平行,2,8,píngxíng
字母表,字母表,3,8,zìmǔbiǎo
深遠,深遠,2,8,shēnyuǎn
比利時,比利時,3,7,bǐlìshí
永,永,1,4,yǒng
設計師,設計師,3,8,shèjìshī
勢力,勢力,2,5,shìlì
朱婷,朱婷,2,7,zhūtíng
葬禮,葬禮,2,6,zànglǐ
選,選,1,4,xuǎn
適合,適合,2,5,shìhé
多少,多少,2,7,duōshǎo
乃至,乃至,2,6,nǎizhì
打開,打開,2,5,dǎkāi
後果,後果,2,6,hòuguǒ
延續,延續,2,5,yánxù
不大,不大,2,4,bùdà
可疑,可疑,2,4,kěyí
進去,進去,2,5,jìnqù
平台,平台,2,7,píngtái
變成,變成,2,9,biànchéng
官員,官員,2,8,guānyuán
激烈,激烈,2,5,jīliè
鱈魚,鱈魚,2,5,xuěyú
凱爾特海,凱爾特海,4,10,kǎiěrtèhǎi
擬定,擬定,2,6,nǐdìng
之於,之於,2,5,zhīyú
限制,限制,2,7,xiànzhì
概念,概念,2,7,gàiniàn
流行,流行,2,7,liúxíng
揭示,揭示,2,6,jiēshì
斷層,斷層,2,8,duàncéng
干預,干預,2,5,gànyù
肺,肺,1,3,fèi
指揮,指揮,2,6,zhǐhuī
小鎮,小鎮,2,8,xiǎozhèn
初期,初期,2,5,chūqī
前線,前線,2,8,qiánxiàn
經驗,經驗,2,7,jīngyàn
多斯,多斯,2,5,duōsī
春天,春天,2,8,chūntiān
火車,火車,2,6,huǒchē
武裝,武裝,2,8,wǔzhuāng
美裔,美裔,2,5,měiyì
日子,日子,2,4,rìzi
超級,超級,2,6,chāojí
拉丁,拉丁,2,6,lādīng
站,站,1,4,zhàn
州,州,1,4,zhōu
移除,移除,2,5,yíchú
阿普利亞,阿普利亞,4,7,āpǔlìyà
爵位,爵位,2,6,juéwèi
拿破崙,拿破崙,3,7,nápòlún
克頓,克頓,2,5,kèdùn
話題,話題,2,5,huàtí
防衛,防衛,2,7,fángwèi
局,局,1,2,jú
歌手,歌手,2,6,gēshǒu
考慮,考慮,2,5,kǎolǜ
希律,希律,2,4,xīlǜ
即將,即將,2,7,jíjiāng
亞歷山大,亞歷山大,4,10,yàlìshāndà
停留,停留,2,7,tíngliú
鑑,鑑,1,4,jiàn
準確,準確,2,7,zhǔnquè
願意,願意,2,6,yuànyì
妥協,妥協,2,6,tuǒxié
希羅底,希羅底,3,7,xīluódǐ
愛丁堡,愛丁堡,3,9,àidīngbǎo
錯誤,錯誤,2,5,cuòwù
印,印,1,3,yìn
聲稱,聲稱,2,10,shēngchēng
士兵,士兵,2,7,shìbīng
遠離,遠離,2,6,yuǎnlí
冊,冊,1,2,cè
基督教,基督教,3,8,jīdūjiào
充分,充分,2,8,chōngfèn
心態,心態,2,6,xīntài
劇,劇,1,2,jù
獲勝,獲勝,2,8,huòshèng
知識,知識,2,6,zhīshí
對手,對手,2,7,duìshǒu
大火,大火,2,5,dàhuǒ
迦南人,迦南人,3,9,jiānánrén
迪斯尼,迪斯尼,3,6,dísīní
青銅,青銅,2,8,qīngtóng
石製,石製,2,6,shízhì
中央,中央,2,9,zhōngyāng
立石,立石,2,5,lìshí
遺跡,遺跡,2,4,yíjī
恰當,恰當,2,7,qiàdāng
補助,補助,2,5,bǔzhù
作出,作出,2,6,zuòchū
肥料,肥料,2,7,féiliào
安石,安石,2,5,ānshí
王,王,1,4,wáng
很快,很快,2,7,hěnkuài
推翻,推翻,2,6,tuīfān
說法,說法,2,6,shuōfǎ
詹姆斯,詹姆斯,3,8,zhānmǔsī
拉美西斯,拉美西斯,4,9,lāměixīsī
計算,計算,2,6,jìsuàn
邊緣,邊緣,2,8,biānyuán
喬治,喬治,2,7,qiáozhì
極度,極度,2,4,jídù
片,片,1,4,piàn
加勒比人,加勒比人,4,11,jiālēibǐrén
虔誠,虔誠,2,9,qiánchéng
西邊,西邊,2,6,xībiān
祈禱,祈禱,2,5,qídǎo
雷暴,雷暴,2,6,léibào
沙塵暴,沙塵暴,3,10,shāchénbào
加低斯,加低斯,3,7,jiādīsī
坎伯蘭,坎伯蘭,3,8,kǎnbólán
露天,露天,2,6,lùtiān
狀況,狀況,2,11,zhuàngkuàng
澳洲,澳洲,2,6,àozhōu
溫度,溫度,2,5,wēndù
阿拉斯加,阿拉斯加,4,8,ālāsījiā
探索,探索,2,6,tànsuǒ
哥倫佈,哥倫佈,3,7,gēlúnbù
掌權,掌權,2,9,zhǎngquán
勳爵,勳爵,2,6,xūnjué
議院,議院,2,6,yìyuàn
爭議,爭議,2,7,zhēngyì
滿族,滿族,2,5,mǎnzú
民國,民國,2,6,mínguó
滅亡,滅亡,2,7,mièwáng
公主,公主,2,7,gōngzhǔ
徹底,徹底,2,5,chèdǐ
結構,結構,2,6,jiégòu
追求,追求,2,7,zhuīqiú
波蘭,波蘭,2,5,bōlán
制度,制度,2,5,zhìdù
引起,引起,2,5,yǐnqǐ
奠定,奠定,2,8,diàndìng
編輯,編輯,2,6,biānjí
篇,篇,1,4,piān
知,知,1,3,zhī
北海,北海,2,6,běihǎi
地峽,地峽,2,5,dìxiá
蓋耶,蓋耶,2,5,gàiyé
生肖,生肖,2,9,shēngxiào
阿特靈,阿特靈,3,7,ātèlíng
視,視,1,3,shì
分離,分離,2,5,fēnlí
遭到,遭到,2,6,zāodào
威尼斯,威尼斯,3,7,wēinísī
割讓,割讓,2,6,gēràng
劇本,劇本,2,5,jùběn
舞台劇,舞台劇,3,7,wǔtáijù
交易,交易,2,6,jiāoyì
西方,西方,2,6,xīfāng
軍官,軍官,2,7,jūnguān
法蘭西,法蘭西,3,7,fǎlánxī
獎項,獎項,2,10,jiǎngxiàng
斯巴達,斯巴達,3,6,sībādá
佔領,佔領,2,8,zhànlǐng
場合,場合,2,7,chǎnghé
丘吉爾,丘吉爾,3,7,qiūjíěr
正式,正式,2,8,zhèngshì
猶太教,猶太教,3,10,yóutàijiào
受洗,受洗,2,6,shòuxǐ
強制,強制,2,8,qiángzhì
進攻,進攻,2,7,jìngōng
降到,降到,2,8,jiàngdào
復興,復興,2,6,fùxìng
全面,全面,2,8,quánmiàn
很好,很好,2,6,hěnhǎo
遭,遭,1,3,zāo
偉大,偉大,2,5,wěidà
歷史學家,歷史學家,4,11,lìshǐxuéjiā
武器,武器,2,4,wǔqì
注重,注重,2,8,zhùzhòng
三百萬,三百萬,3,9,sānbǎiwàn
年號,年號,2,7,niánhào
戰敗,戰敗,2,7,zhànbài
港口,港口,2,7,gǎngkǒu
明治,明治,2,7,míngzhì
拉瑪爾,拉瑪爾,3,6,lāmǎěr
車型,車型,2,7,chēxíng
福特,福特,2,4,fútè
專業,專業,2,7,zhuānyè
那里,那里,2,4,nàlǐ
早期,早期,2,5,zǎoqī
女巫,女巫,2,4,nǚwū
牧師,牧師,2,5,mùshī
統治者,統治者,3,10,tǒngzhìzhě
觀察,觀察,2,7,guānchá
從而,從而,2,6,cóngér
使得,使得,2,5,shǐde
一分為二,一分為二,4,10,yīfēnwèièr
證據,證據,2,7,zhèngjù
飛行員,飛行員,3,11,fēixíngyuán
著陸,著陸,2,5,zhùlù
希斯帕尼亞,希斯帕尼亞,5,10,xīsīpàníyà
滿月,滿月,2,6,mǎnyuè
建成,建成,2,9,jiànchéng
傷害,傷害,2,8,shānghài
形象,形象,2,9,xíngxiàng
海報,海報,2,6,hǎibào
叛軍,叛軍,2,6,pànjūn
對抗,對抗,2,7,duìkàng
赫爾茨,赫爾茨,3,6,hèěrcí
瑪格麗特,瑪格麗特,4,8,mǎgélìtè
貴族,貴族,2,5,guìzú
一面,一面,2,6,yímiàn
尤其,尤其,2,5,yóuqí
那兒,那兒,2,4,nàér
吉卜林,吉卜林,3,7,jíbolín
崔絲,崔絲,2,5,cuīsī
探討,探討,2,6,tàntǎo
詳細,詳細,2,7,xiángxì
局勢,局勢,2,5,júshì
內部,內部,2,5,nèibù
假設,假設,2,6,jiǎshè
滿意,滿意,2,5,mǎnyì
收益,收益,2,6,shōuyì
阿爾瓦雷茨,阿爾瓦雷茨,5,10,āěrwǎléicí
增長率,增長率,3,11,zēngzhǎnglǜ
進場,進場,2,8,jìnchǎng
收入,收入,2,6,shōurù
人均,人均,2,6,rénjūn
入讀率,入讀率,3,6,rùdúlǜ
男子,男子,2,5,nánzi
標誌,標誌,2,7,biāozhì
梅,梅,1,3,méi
寫作,寫作,2,6,xiězuò
主演,主演,2,6,zhǔyǎn
拉博夫,拉博夫,3,6,lābófū
成就,成就,2,8,chéngjiù
精英,精英,2,8,jīngyīng
質量,質量,2,8,zhìliàng
廣,廣,1,5,guǎng
長大,長大,2,7,zhǎngdà
程序,程序,2,7,chéngxù
當前,當前,2,8,dāngqián
船隻,船隻,2,8,chuánzhī
可能性,可能性,3,10,kěnéngxìng
此外,此外,2,5,cǐwài
代,代,1,3,dài
樣,樣,1,4,yàng
暫停,暫停,2,7,zàntíng
巴爾幹,巴爾幹,3,7,bāěrgàn
賞識,賞識,2,8,shǎngshí
殖民地,殖民地,3,8,zhímíndì
海峽,海峽,2,6,hǎixiá
報紙,報紙,2,6,bàozhǐ
進口,進口,2,6,jìnkǒu
預報,預報,2,5,yùbào
透露,透露,2,5,tòulù
貝貝,貝貝,2,6,bèibèi
氣象,氣象,2,7,qìxiàng
演員,演員,2,7,yǎnyuán
丹麥語,丹麥語,3,8,dānmàiyǔ
冰島,冰島,2,7,bīngdǎo
離婚,離婚,2,5,líhūn
各,各,1,2,gè
法令,法令,2,6,fǎlìng
取代,取代,2,5,qǔdài
裡根,裡根,2,5,lǐgēn
路易,路易,2,4,lùyì
莫伊米爾,莫伊米爾,4,8,mòyīmǐěr
斯洛伐克,斯洛伐克,4,9,sīluòfákè
公國,公國,2,7,gōngguó
末,末,1,2,mò
部落,部落,2,5,bùluò
日耳曼,日耳曼,3,7,rìěrmàn
立足,立足,2,4,lìzú
獨自,獨自,2,4,dúzì
愚蠢,愚蠢,2,6,yúchǔn
挪威,挪威,2,6,nuówēi
黨內,黨內,2,7,dǎngnèi
信,信,1,3,xìn
管,管,1,4,guǎn
選出,選出,2,7,xuǎnchū
佔,佔,1,4,zhàn
岡薩雷斯,岡薩雷斯,4,11,gāngsàléisī
卡森,卡森,2,5,kǎsēn
初選,初選,2,7,chūxuǎn
分隔,分隔,2,5,fēngé
雪人,雪人,2,6,xuěrén
澳大利亞人,澳大利亞人,5,11,àodàlìyàrén
錦標賽,錦標賽,3,10,jǐnbiāosài
朝鮮,朝鮮,2,8,cháoxiān
法西斯,法西斯,3,6,fǎxīsī
打入,打入,2,4,dǎrù
美國人,美國人,3,9,měiguórén
藉由,藉由,2,5,jíyóu
發育,發育,2,4,fāyù
賽道,賽道,2,6,sàidào
推動,推動,2,7,tuīdòng
巴羅佐,巴羅佐,3,8,bāluózuǒ
群島,群島,2,6,qúndǎo
萊恩,萊恩,2,5,láiēn
太平洋,太平洋,3,11,tàipíngyáng
艾達,艾達,2,4,àidá
城鎮,城鎮,2,9,chéngzhèn
埃爾多安,埃爾多安,4,9,āiěrduōān
卡洛斯,卡洛斯,3,7,kǎluòsī
慶祝,慶祝,2,7,qìngzhù
生者,生者,2,8,shēngzhě
很少,很少,2,7,hěnshǎo
經歷,經歷,2,6,jīnglì
平壤,平壤,2,8,píngrǎng
埋,埋,1,3,mái
畫,畫,1,3,huà
演化,演化,2,6,yǎnhuà
方言,方言,2,7,fāngyán
模型,模型,2,6,móxíng
角洲,角洲,2,8,jiǎozhōu
客串,客串,2,7,kèchuàn
嚴重,嚴重,2,8,yánzhòng
加入,加入,2,5,jiārù
堪薩斯州,堪薩斯州,4,11,kānsàsīzhōu
尼古拉斯,尼古拉斯,4,8,nígǔlāsī
平原,平原,2,8,píngyuán
境內,境內,2,7,jìngnèi
烏克蘭,烏克蘭,3,7,wūkèlán
李維,李維,2,5,lǐwéi
撤退,撤退,2,6,chètuì
運輸,運輸,2,6,yùnshū
多瑙河,多瑙河,3,8,duōnǎohé
便,便,1,4,biàn
以後,以後,2,5,yǐhòu
指揮權,指揮權,3,10,zhǐhuīquán
妥善,妥善,2,7,tuǒshàn
部件,部件,2,6,bùjiàn
聯軍,聯軍,2,7,liánjūn
印第安人,印第安人,4,10,yìndìānrén
醫學,醫學,2,5,yīxué
西北部,西北部,3,7,xīběibù
基督,基督,2,4,jīdū
五十,五十,2,5,wǔshí
兼,兼,1,4,jiān
生態,生態,2,8,shēngtài
污染,污染,2,5,wūrǎn
作曲家,作曲家,3,8,zuòqǔjiā
文章,文章,2,8,wénzhāng
瑪雅人,瑪雅人,3,7,mǎyǎrén
農民,農民,2,7,nóngmín
而是,而是,2,5,érshì
史前,史前,2,7,shǐqián
較為,較為,2,7,jiàowèi
相反,相反,2,8,xiāngfǎn
有時,有時,2,6,yǒushí
史達林,史達林,3,8,shǐdálín
科幻,科幻,2,6,kēhuàn
發電,發電,2,6,fādiàn
低海拔,低海拔,3,7,dīhǎibá
奧,奧,1,2,ào
緊鄰,緊鄰,2,6,jǐnlín
不久,不久,2,5,bùjiǔ
理查,理查,2,5,lǐchá
撒海爾區,撒海爾區,4,9,sāhǎiěrqū
學,學,1,3,xué
童工,童工,2,8,tónggōng
小塊,小塊,2,8,xiǎokuài
告終,告終,2,8,gàozhōng
資金,資金,2,5,zījīn
嫁給,嫁給,2,6,jiàgěi
約克,約克,2,5,yuēkè
四世,四世,2,5,sìshì
秘密,秘密,2,4,mìmì
保留,保留,2,6,bǎoliú
接觸,接觸,2,6,jiēchù
一帶,一帶,2,5,yīdài
傳播,傳播,2,7,chuánbō
伊斯蘭教,伊斯蘭教,4,11,yīsīlánjiào
投入,投入,2,5,tóurù
奧運會,奧運會,3,8,àoyùnhuì
微小,微小,2,7,wēixiǎo
撒哈拉,撒哈拉,3,6,sāhālā
相對,相對,2,8,xiāngduì
古老,古老,2,5,gǔlǎo
近海,近海,2,6,jìnhǎi
來臨,來臨,2,6,láilín
死亡,死亡,2,6,sǐwáng
詞,詞,1,2,cí
檢查,檢查,2,7,jiǎnchá
遺忘,遺忘,2,6,yíwàng
約里奧,約里奧,3,7,yuēlǐào
後來,後來,2,6,hòulái
腓尼基,腓尼基,3,7,féiníjī
古典,古典,2,6,gǔdiǎn
互相,互相,2,7,hùxiāng
地理,地理,2,4,dìlǐ
通道,通道,2,7,tōngdào
食品,食品,2,6,shípǐn
實驗室,實驗室,3,9,shíyànshì
社區,社區,2,5,shèqū
樣本,樣本,2,7,yàngběn
極大,極大,2,4,jídà
